Ya_ grubu ve cinsiyete gšre intiharlar, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suicides by age group and sex, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Toplam;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;;;;;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;Bilinmeyen;;
;;Total;;;<15;;;15-19;;;20-24;;;25-29;;;30-34;;;35-39;;;40-44;;;45-49;;;50-54;;;55-59;;;60-64;;;65-69;;;70-74;;; 75+;;;Unknown;;
Yõl;Cinsiyet;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;
Year;Sex;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);
2002-2011 yõllarõna ili_kin intihar istatistikleri, Emniyet Genel MŸdŸrlŸ_Ÿ ve Jandarma Genel Komutanlõ_õ'ndan elde edilen bilgileri kapsamaktadõr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suicide statistics for 2002-2011 years include information taken from General Directorate of Security and General Command of Gendarmerie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 yõlõndan itibaren intihar istatistiklerinin, kurumsal yerlerde meydana gelen intihar olaylarõ ile T†_K šlŸm nedeni verisinden elde edilen intihar olaylarõ da eklenerek kapsamõ geni_letilmi_tir. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Since 2012, the coverage of suicide statistics has been expanded to add information taken from institutional places where suicide events occured and TurkStat cause of death data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(r) _ntihar verileri gŸncel idari kayõtlarla revize edilmi_tir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(r) Suicide data were revised with updated administrative records.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- Bilgi yoktur.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- Denotes magnitude null.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
